project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
Kurnalpi Gold,Kurnalpi,J03802,-30.553653,122.227365,Undeveloped,Deposit,Unspecified,Au,Eastern Goldfields Superterrane,1.325,1.77162264,75470.6,0.0,0.0,0.0,75470.6,E 28/1749,EXPLORATION LICENCE,NORTHERN STAR (CAROSUE DAM) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b9a2009c-b469-4161-9f17-be880225c3fb
Lady Ida / Lamerton Geoda,Lady Ida,J06689,-30.494737,120.662244,Operating,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,17.035,1.11647373,611478.3,3.7764,1.12521449,136616.7,748095.0,M 16/262,MINING LEASE,GEODA PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/8f856bb0-88f4-d2fb-2eaf-2ea47c7c9e1a
Lady Julie,Lady Julie,J05641,-28.687753,122.307224,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,39.1306,1.77737132,2236068.5,0.0,0.0,0.0,2236068.5,M 38/1315,MINING LEASE,MAGNETIC RESOURCES NL,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f862daf4-f312-109a-e685-a94a4812df5d
Lady Susan,Lady Susan,J01692,-28.749453,121.827387,Proposed,Mine,Openpit,Au,Eastern Goldfields Superterrane,0.071,2.0071831,4581.8,0.0,0.0,0.0,4581.8,M 39/460,MINING LEASE,NIWEST LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5b6a5fa6-d710-47b3-9401-eeda0493644e
Lalla Rookh,Lalla Rookh,J00206,-21.051384,119.274216,Shut,Mine,Shaft,Au,Warrawoona  Large Igneous Province,0.278,2.12651079,19006.5,0.0,0.0,0.0,19006.5,M 45/442; L 45/166,MINING LEASE; MISCELLANEOUS LICENCE,HAOMA MINING NL; VENTUREX SULPHUR SPRINGS PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e08c92a7-ff75-4d47-b4be-8767de718519
Lancefield Tailings,Lancefield Tailings,J00208,-28.55772,122.370636,Shut,Mine,Tailings storage facility,"Au, Ag",Eastern Goldfields Superterrane,1.5479,1.2547193,62442.4,0.0,0.0,0.0,62442.4,M 38/37; LTT 70/3709,MINING LEASE; LICENCE TO TREAT TAILINGS,LAVERTON GOLD PTY LTD; SVENSON NOMINEES PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/9d8ea725-7c0e-4a00-965b-fbfdf358bf8b
Larkinville,Larkinville,J05746,-31.416726,121.468211,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.2,1.8,11574.3,0.0,0.0,0.0,11574.3,M 15/1449,MINING LEASE,ESSENTIAL METALS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/034ed28f-41a8-282d-7fba-789acf9e5683
Laverton - Barnicoat - Karridale - Merolia / Focus,Laverton - Barnicoat - Karridale - Merolia,J00238,-28.785417,122.648014,Proposed,Mine,Openpit,"Au, Ag",Burtville Terrane,74.1063,1.66808271,3974322.9,12.6,1.33650794,541417.8,4515740.7,M 38/8,MINING LEASE,LAVERTON GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/4ca83e72-c3d5-4e0c-945f-a3c601f4deb7
Laverton Downs,Laverton Downs,J02174,-28.444128,122.471549,Undeveloped,Deposit,Unspecified,"Au, Ag",Burtville Terrane,0.032,4.5,4629.7,0.0,0.0,0.0,4629.7,M 38/1266,MINING LEASE,GOLDEN CLIFFS NL,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/0e9a79fe-6a5f-4739-80f6-6b82aecf3e02
Laverton Gold JV,Laverton Gold JV,J07132,-29.382583,122.368418,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.231,1.82121212,13525.8,0.0,0.0,0.0,13525.8,M 39/1099,MINING LEASE,"WILSON, WALTER SCOTT",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/da5e3de7-373c-eb13-2a79-7082044951b0
Lennons Find,Lennons Find,J00563,-21.355836,120.239108,Undeveloped,Deposit,Unspecified,"Zn, Pb, Ag",Warrawoona  Large Igneous Province,1.55,0.28,13953.4,0.0,0.0,0.0,13953.4,M 45/368,MINING LEASE,"FLETCHER, JOY ANN",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/3c9dab20-f685-432a-a0cf-5effd5d5381f
Leonora - Crawford and Gambier Lass,Leonora,J02802,-28.878056,121.58491,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,3.745,1.0,120404.4,1.002,0.91,29315.7,149720.1,M 37/1202,MINING LEASE,CAVALIER RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/1d926016-80b9-4fe3-b6bd-2b39d438fa56
Leonora / Iris,Leonora,J06780,-28.820893,121.680029,Proposed,Mine,Scraping-Detecting area,Au,Eastern Goldfields Superterrane,0.005,9.0,1446.8,0.0,0.0,0.0,1446.8,P 37/9033,PROSPECTING LICENCE,IRIS METALS LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d03924eb-dc7e-d144-0d70-50d0b414a323
Leonora / Patronus,Leonora - Cardinia,J00232,-28.667341,121.545767,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,20.5474,1.43767435,949746.8,2.39,1.70711297,131174.9,1080921.7,M 37/82,MINING LEASE,NAVIGATOR MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e22c92b1-d0f8-46cf-8fa3-529df64c95b5
Liberty - Indee,Liberty - Indee,J03482,-21.096425,117.847208,Undeveloped,Deposit,Unspecified,"Cu, Zn, Pb, Au, Ag",Sisters Supersuite,0.59,0.98372881,18660.3,0.5,0.88,14146.3,32806.6,M 47/1455,MINING LEASE,JUTT RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/1478d8d6-ad06-41a2-a8f8-6934877d5042
Linden Gold,Linden Gold,J02325,-29.376492,122.435829,Operating,Mine,Decline,"Au, Ag",Eastern Goldfields Superterrane,0.132,10.02121212,42528.9,0.391,5.64890026,71011.9,113540.8,M 39/255,MINING LEASE,SECOND FORTUNE GOLD PROJECT PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/86777438-745e-4e73-8c74-16edca176e30
Lindsays,Lindsays,J01525,-30.331503,121.69581,Care and Maintenance,Mine,Openpit,Au,Eastern Goldfields Superterrane,3.9732,1.68773533,215593.3,0.0,0.0,0.0,215593.3,M 27/169,MINING LEASE,TOP GLOBAL MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/3bce559e-78d6-48de-8cf6-efdc8ab16096
Livingstone Gold,Livingstone,J02143,-25.575885,117.661179,Undeveloped,Deposit,Unspecified,"Au, Ag",Padbury Basin,2.809,1.35538626,122406.7,0.0,0.0,0.0,122406.7,E 52/3403-I,EXPLORATION LICENCE,TRILLBAR RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/83452ea1-49bd-4755-bfbd-f0c2b85f1d81
Maguires Reward,Maguires Reward,J05862,-27.00269,117.782915,Undeveloped,Deposit,Unspecified,"Au, Ag",Youanmi Terrane,0.3121,2.15979494,21671.9,0.0,0.0,0.0,21671.9,P 20/2318,PROSPECTING LICENCE,OZZ RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/013dc98e-e52f-474b-0759-603187642382
Majestic North ,Majestic North ,J04387,-30.854622,121.929779,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.375,1.14164364,50468.9,0.0,0.0,0.0,50468.9,M 25/369,MINING LEASE,FORTIFY MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/715f7547-a8cf-4565-8035-e02d6871346d
Malcolm,Malcolm,J03099,-28.939897,121.503008,Shut,Mine,Unspecified,Au,Eastern Goldfields Superterrane,0.2502,6.21079137,49960.3,0.0,0.0,0.0,49960.3,M 37/1164,MINING LEASE,GOLDLAKE TWO HOLDINGS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f1d93382-eaf0-4175-b96a-7c1636ba6d90
Malcolm Challenger Gold - Murrin Murrin,Malcolm Challenger - Murrin Murrin,J00270,-28.899707,121.817764,Operating,Mine,Openpit,Au,Eastern Goldfields Superterrane,0.547,3.12,54869.7,0.0,0.0,0.0,54869.7,M 39/1068,MINING LEASE,KUMARINA RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d28741c4-eac0-4c22-9bc6-0cc98f5e10d5
Malcolm Gold,Malcolm,J05257,-28.936891,121.511638,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.2943,1.53261638,14501.5,0.0,0.0,0.0,14501.5,P 37/8824,PROSPECTING LICENCE,MT MALCOLM GOLD HOLDINGS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/172b63b1-9fb2-4cbb-9eac-029d878018f8
Manayaparn,Manayaparn,J02490,-26.362417,120.948809,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,6.0,1.78666667,344655.5,0.0,0.0,0.0,344655.5,E 53/1304,EXPLORATION LICENCE,NORTHERN STAR RESOURCES LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e53a6d71-7b11-4f2d-983d-06126f25e9e9
Mandilla,Mandilla,J02817,-31.378336,121.520113,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,41.7,1.10863309,1486326.9,34.269,0.89838746,989818.5,2476145.4,M 15/633,MINING LEASE,ASTRAL RESOURCES NL,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/069c8fbe-b4a5-423e-ad04-55565b367ae1
Mangaroon Gold,Mangaroon,J00222,-23.867585,115.746111,Care and Maintenance,Mine,Shaft,"Au, Pb, Ag",Gascoyne Province,0.0756,11.0781746,26926.5,0.0,0.0,0.0,26926.5,M 09/175,MINING LEASE,DREADNOUGHT EXPLORATION PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/a4d7aec5-5240-416b-bf69-86fdf3258604
Marda / Southern Cross,Marda,J02854,-29.744697,119.483508,Shut,Mine,Unspecified,"Au, Ag",Youanmi Terrane,10.171,1.0459473,342029.8,0.0,0.0,0.0,342029.8,P 77/4179,PROSPECTING LICENCE,MARDA OPERATIONS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/0fe8ae37-16c6-4f02-87e1-ce5231d35d45
Marvel Loch - Southern Cross,Marvel Loch - Southern Cross,J00226,-31.269604,119.320508,Shut,Mine,Openpit,"Au, Ag",Youanmi Terrane,18.596,3.52294795,2106280.4,6.521,3.66307315,767980.6,2874261.0,M 77/225,MINING LEASE,BARTO GOLD MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/00d17898-59e9-47f7-b9ce-1ad0e5ed24d3
Matilda,Matilda,J02624,-26.611436,120.246706,Care and Maintenance,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,91.83,2.38267342,7034602.1,37.82,1.28474088,1562167.1,8596769.2,M 53/96,MINING LEASE,WILUNA OPERATIONS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5f286391-fce2-4b83-b94a-5a003b08b136
Maybell - Norseman,Maybell - Norseman,J01211,-32.367366,121.794044,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,1.7955,2.1206015,122415.1,0.0,0.0,0.0,122415.1,M 63/204-I,MINING LEASE,PANGOLIN RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/c4ca0595-864f-4f05-99bc-f36a8f838f4b
Mayday,Bardoc Gold,J01239,-30.447939,121.863798,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,1.734,1.5005767,83656.1,0.622,1.62,32396.3,116052.4,M 27/140,MINING LEASE,GPM RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d7a3ef15-dfcd-4039-8e2f-eadbbef45e67
McGuires Reward - Beebyn West,McGuires Reward - Beebyn West,J01679,-27.004797,117.788012,Undeveloped,Deposit,Unspecified,"Au, Ag",Youanmi Terrane,0.37,3.7,44014.3,0.0,0.0,0.0,44014.3,M 20/568; P 20/2516,MINING LEASE; PROSPECTING LICENCE,OZZ RESOURCES LIMITED; OZZ RESOURCES LIMITED,PENDING; PENDING,https://minedex.dmirs.wa.gov.au/Web/projects/details/b0566e78-8f35-4cbd-b785-c91b204cde58
McPhees,McPhees,J04548,-20.998716,118.937708,Shut,Mine,Openpit,"Au, Ag",Kelly Large Igneous Province,0.396,1.57,19988.7,0.557,1.53,27399.1,47387.8,M 45/1275,MINING LEASE,PILGANGOORA OPERATIONS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/8f82f4e8-f29d-42e5-ba99-661838c9af9c
Menzies,Menzies,J01011,-29.703376,121.02806,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,14.824,1.5038748,716749.7,2.934,1.7204499,162290.3,879040.0,M 29/153,MINING LEASE,MENZIES OPERATIONAL AND MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f9246263-0c1c-4476-a3b9-dba0483ececc
Menzies / Helix,Menzies,J02333,-29.811158,121.142512,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.085,6.0,16396.9,0.0,0.0,0.0,16396.9,E 29/1045,EXPLORATION LICENCE,KALGOORLIE NICKEL PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/2792b77f-5c26-4f40-a9f5-ac525bb473d6
Merolia - Laverton Gold,Merolia - Laverton,J04733,-28.780028,122.741712,Shut,Mine,Openpit,"Au, Ag",Burtville Terrane,0.0623,4.27704655,8566.9,0.0,0.0,0.0,8566.9,E 38/2847,EXPLORATION LICENCE,PANTHER METALS LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/138175c8-60b4-421c-971d-dbaa82cf98a8
Minestat Gold Mining Centres,Minestat Mining Centres,J02199,-30.117851,120.583111,Shut,Mine,Unspecified,Au,Youanmi Terrane,0.169,2.55443787,13879.5,0.0,0.0,0.0,13879.5,M 30/103,MINING LEASE,CARNEGIE GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/19f0dbd4-ec61-49d3-bfdc-9619e2bf95d1
Minyari Dome,Minyari Dome,J04792,-21.381333,122.257694,Undeveloped,Deposit,Unspecified,"Au, Ag, Cu, Co",Yeneena Basin,57.6924,1.44612985,2682355.5,0.0,0.0,0.0,2682355.5,E 45/3919,EXPLORATION LICENCE,ANTIPA RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/a5dc8ab9-5c01-4ef4-b287-ddbbf8273e62
Mon Ami Gold,Mon Ami,J04103,-28.757311,122.505476,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.56,1.10711538,55527.5,0.0,0.0,0.0,55527.5,M 38/1256,MINING LEASE,GREAT SOUTHERN MINING LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/351949f8-555a-4fca-a7ab-70b4d2f22fb4
Montague Gold,Montague Gold,J00148,-27.398185,119.538408,Shut,Mine,Openpit,"Au, Ag",Youanmi Terrane,10.073,1.64314504,532139.1,0.0,0.0,0.0,532139.1,M 57/98,MINING LEASE,MONTAGUE GOLD PROJECT PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/7579840e-1932-4010-885a-b1ab72d7348d
Monument - Korong,Monument - Korong,J02424,-28.639168,121.96482,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,3.257,1.44792754,151619.5,0.0,0.0,0.0,151619.5,E 39/2024,EXPLORATION LICENCE,MONUMENT EXPLORATION PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/3b9638f4-5948-4916-be05-dd01ae499eb9
Mosquito Creek / Nimble,Mosquito Creek,J00236,-21.733335,120.485506,Shut,Mine,Openpit,"Au, Ag",Mosquito Creek Basin,12.413,0.56774672,226580.1,0.0,0.0,0.0,226580.1,E 46/1581,EXPLORATION LICENCE,"STONE, ELDON ANDREW",PENDING,https://minedex.dmirs.wa.gov.au/Web/projects/details/6691d0bc-a2b7-4bd8-b0eb-20568af96f33
Mt Cattlin Gold / Avira Resources,Mt Cattlin / Avira,J05718,-33.545656,120.059512,Undeveloped,Deposit,Unspecified,"Au, Cu, Ag",Youanmi Terrane,0.165,3.9396,20899.0,0.0,0.0,0.0,20899.0,E 74/401-I,EXPLORATION LICENCE,GALAXY LITHIUM AUSTRALIA PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/baf23877-d54c-f3fc-5765-f5f14ba521c6
Mt Celia - Kangaroo Bore,Mt Celia - Kangaroo Bore,J00240,-29.439496,122.4654,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,4.304,1.84882203,255833.7,0.0,0.0,0.0,255833.7,M 39/1145,MINING LEASE,LEGACY IRON ORE LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/ed7e53db-67e8-4002-98b5-18b8409f6445
Mt Clement - Fairview,Mt Clement - Fairview,J06606,-22.835818,116.125587,Undeveloped,Deposit,Unspecified,"Pb, Sb, Ag, Au",Ashburton Basin,1.14,0.1,3665.2,0.0,0.0,0.0,3665.2,E 08/3214,EXPLORATION LICENCE,MARQUEE RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/26b7f63b-9f24-f476-e64d-8919e6fd1977
Mt Clement Antimony,Mt Clement Antimony,J07156,-22.830833,116.110053,Undeveloped,Deposit,Unspecified,"Au, Sb, Cu, Ag, Pb",Ashburton Basin,2.605,0.62610365,52437.8,0.0,0.0,0.0,52437.8,M 08/192,MINING LEASE,BLACK CAT (PAULSENS) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d1971ec5-736e-25c8-05bc-8aa7e240737c
Mt Clifford Kettle Alluvial Operations,Mt Clifford,J06385,-28.462668,121.05871,Shut,Mine,Scraping-Detecting area,"Au, Ag",Eastern Goldfields Superterrane,0.109,3.7,12966.4,0.0,0.0,0.0,12966.4,M 37/182,MINING LEASE,"BIGGS, GLEN NEIL",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e17b8b84-8f91-5caa-ef0a-398fbc593869
Mt Dimer,Mt Dimer,J01033,-30.399426,119.813422,Shut,Mine,Openpit,"Au, Ag",Yilgarn Craton granites,0.44,3.63431818,51412.2,0.056,5.3,9542.3,60954.5,M 77/427,MINING LEASE,BEACON MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d4124700-188a-4fa5-8f43-e9cff94f9f40
Mt Dimer / Taipan,Mt Dimer,J01671,-30.390636,119.895808,Operating,Mine,Openpit,"Au, Ag",Youanmi Terrane,0.7227,2.06799917,48050.6,0.0,0.0,0.0,48050.6,M 77/515,MINING LEASE,OZ GOLD GROUP PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e2a45493-649e-4ed9-af61-f77cc85b4ca4
Mt Dockrell Gold,Mt Dockrell,J00414,-18.842716,127.203211,Shut,Mine,Openpit,Au,"Lamboo Province, Eastern Zone",0.324,0.69135802,7201.8,0.0,0.0,0.0,7201.8,E 80/4542-I,EXPLORATION LICENCE,STATE RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5281693d-8847-4ba5-9f4d-b2927608c256
Mt Edwards Nickel,Mt Edwards,J02592,-31.502837,121.574809,Undeveloped,Deposit,Unspecified,"Ni, Cu, PGE",Eastern Goldfields Superterrane,0.959,0.16,4933.2,0.0,0.0,0.0,4933.2,M 15/94,MINING LEASE,WYLOO KAMBALDA PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/9daea1e3-2c60-4eaf-b712-b6144d02eaea
Mt Eureka Gold,Mt Eureka,J03271,-26.604886,121.537112,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.5868,1.23520544,63016.1,0.0,0.0,0.0,63016.1,E 53/1299,EXPLORATION LICENCE,CULLEN EXPLORATION PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/a1599dc5-e263-4276-905e-606be7e5b6d7
Mt Fisher Gold,Mt Fisher,J04063,-26.873846,121.41988,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.9324,2.42394432,150594.8,0.0,0.0,0.0,150594.8,E 53/1061,EXPLORATION LICENCE,ROX (MT FISHER) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/040bc47f-9096-4b47-b13b-21e635ceacbb
Mt Forrest - Bulga Downs Gold,Mt Forrest - Bulga Downs,J02185,-28.693397,119.960612,Undeveloped,Deposit,Unspecified,"Au, Ag",Youanmi Terrane,0.4,2.8,36008.8,0.0,0.0,0.0,36008.8,M 29/257-I,MINING LEASE,YILGIRON PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/7571bbcd-fa15-4ac2-843c-9239129892d9
Mt Gibson Gold,Mt Gibson,J00245,-29.782349,117.168027,Proposed,Mine,Openpit,"Au, Ag",Yilgarn Craton granites,152.0,0.96375,4709756.0,94.8,0.88481013,2696800.7,7406556.7,M 59/772,MINING LEASE,CRIMSON METALS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/c0901c6e-7996-4c94-a3fa-9432a0f7477d
Mt Henry - Norseman,Mt Henry - Norseman,J01306,-32.412908,121.782512,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,24.501,1.16334639,916396.2,11.694,1.27147768,478037.8,1394434.0,M 63/516-I,MINING LEASE,KARORA (HIGGINSVILLE) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/82d67102-8174-478c-9601-5bad45f8a18f
Mt Holland Gold / Kidman,Mt Holland,J00106,-32.146282,119.757826,Proposed,Mine,Decline,Au,Youanmi Terrane,15.322,1.94588892,958570.2,0.0,0.0,0.0,958570.2,M 77/1065,MINING LEASE,MONTAGUE RESOURCES AUSTRALIA PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/24becfe3-cea0-44e5-98da-b686b33829e4
Mt Ida Gold,Mt Ida,J00430,-29.097557,120.46551,Proposed,Mine,Unspecified,"Au, Cu, Ag",Eastern Goldfields Superterrane,11.831,3.05608148,1162456.8,0.0,0.0,0.0,1162456.8,M 29/2,MINING LEASE,MT IDA LITHIUM PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/86f293b2-93b8-4571-9b34-f8ca7c34b7b8
Mt Ida South,Mt Ida South,J04342,-29.194124,120.530331,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,4.135,1.12720677,149854.4,0.3,2.519,24296.3,174150.7,M 29/441; L 29/139; L 29/178,MINING LEASE; MISCELLANEOUS LICENCE; MISCELLANEOUS LICENCE,AURENNE MIT PTY LTD; AURENNE MIT PTY LTD; AURENNE MIT PTY LTD,LIVE; LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/ce9cea00-bff0-4fc3-9700-b7008ab51cee
Mt Jumbo,Mt Jumbo,J04863,-28.771373,122.333245,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,2.316,1.13962435,84857.6,0.0,0.0,0.0,84857.6,P 38/4319,PROSPECTING LICENCE,MAGNETIC RESOURCES NL,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/58e53732-4e83-41f5-8c50-bb97bf51af56
Mt Magnet,Mt Magnet,J00156,-28.074872,117.781685,Operating,Mine,Openpit,"Au, Ag",Youanmi Terrane,82.398,1.57999587,4185651.4,14.785,1.12485627,534698.3,4720349.7,M 58/79,MINING LEASE,MT MAGNET GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/e74ed4d6-aff7-40f2-9f89-2e4e50ca0f03
Mt McClure / Yandal,Mt McClure,J05527,-27.514745,120.940913,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,3.371,1.69685553,183905.2,0.0,0.0,0.0,183905.2,M 36/691,MINING LEASE,YANDAL RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/ea1fde9b-b174-497c-98b2-a7fdd0082681
Mt Monger / Mt Monger Resources,Mt Monger,J04799,-31.057806,122.056915,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.166,2.19759036,11728.6,0.0,0.0,0.0,11728.6,P 25/2490,PROSPECTING LICENCE,MT MONGER MINERALS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/16e20f58-f2a9-437a-9cd7-4f09c1be9de8
Mt Monger North,Mt Monger North,J05440,-31.005518,121.810648,Undeveloped,Deposit,Unspecified,"Au, Cu, Ag",Eastern Goldfields Superterrane,0.2046,2.59,17037.1,0.0,0.0,0.0,17037.1,P 26/4142,PROSPECTING LICENCE,CASCADE RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/ee40898a-cb48-48a3-881c-6a5d9946f91e
Mt Morgans,Mt Morgans,J00256,-28.757423,122.081123,Care and Maintenance,Mine,Decline,"Au, Ag",Eastern Goldfields Superterrane,42.51,1.49602446,2044655.9,15.2,1.16973684,571639.4,2616295.3,M 39/228,MINING LEASE,MT MORGANS WA MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b356e743-6818-4832-a082-8fe92201548a
Mt Mulcahy,Mt Mulcahy,J00603,-27.055727,117.697207,Undeveloped,Deposit,Unspecified,"Cu, Zn, Co, Ag, Au",Youanmi Terrane,0.647232,0.21785357,4533.3,0.0,0.0,0.0,4533.3,E 20/931,EXPLORATION LICENCE,SCORPION MINERALS LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5f29e476-9f7f-4fe0-8a46-d879df4112c4
Mt Mulgine Gold,Mt Mulgine,J00832,-29.169651,116.968027,Care and Maintenance,Mine,Openpit,Au,Youanmi Terrane,5.906,1.05739925,200781.1,0.0,0.0,0.0,200781.1,M 59/425-I,MINING LEASE,MINJAR GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/2c76a032-1c40-4160-9b53-47d6b52dfa2d
Mt Mulgine Tungsten,Mt Mulgine,J02784,-29.172054,116.961847,Undeveloped,Deposit,Unspecified,"W, Mo, Au, Ag",Youanmi Terrane,247.0,0.12834008,1019177.2,135.0,0.12,520841.3,1540018.5,M 59/425-I,MINING LEASE,MINJAR GOLD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/6f8e37af-8488-4627-9e52-52ff44cdd657
