project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
Great Bingin - Bullfinch North - Central East Zone,Great Bingin,J00129,-30.828528,119.052409,Shut,Mine,Decline,"Au, Ag",Youanmi Terrane,0.0547,7.37082267,12962.6,0.0,0.0,0.0,12962.6,P 77/4350,PROSPECTING LICENCE,NICKGRAPH PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/044f5014-619d-4481-a270-5712b0d38e3e
Great Western,Great Western,J05237,-28.317041,121.180502,Care and Maintenance,Mine,Openpit,"Au, Ag",Yilgarn Craton granites,0.385,2.81818182,34883.5,0.0,0.0,0.0,34883.5,M 37/54,MINING LEASE,DARLOT MINING COMPANY PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/972b04bb-9190-4d16-899a-142a8c34346f
Gum Creek Gold,Gum Creek,J00115,-27.045187,119.328781,Undeveloped,Deposit,Unspecified,"Cu, Zn",Youanmi Terrane,37.969,1.88472754,2300743.3,0.0,0.0,0.0,2300743.3,E 51/1538,EXPLORATION LICENCE,GUM CREEK GOLD MINES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/9aa00eb9-fb67-46f1-81c9-9bc13c9b72b4
Gwalia - Leonora,Gwalia - Leonora,J00330,-28.918407,121.333484,Operating,Mine,Decline,"Au, Ag",Eastern Goldfields Superterrane,63.206,3.45356137,7018041.3,21.71,3.02422847,2110886.4,9128927.7,M 37/137,MINING LEASE,GENESIS MINERALS (LEONORA) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/bc12581c-a62c-443c-96b2-c1eac43e8a8d
Halls Creek - Lamboo Gold,Halls Creek - Lamboo,J01508,-18.409412,127.356968,Care and Maintenance,Mine,Decline,"Au, Ag","Lamboo Province, Central Zone",0.772,5.95906736,147906.1,0.276,5.69202899,50508.7,198414.8,M 80/359,MINING LEASE,HALLS CREEK MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/047efc77-3c77-4b0d-93a6-a7330efbfc8b
Hannan South,Hannan South,J00149,-30.883397,121.552607,Shut,Mine,Openpit,"Au, Cu, Co, Bi",Eastern Goldfields Superterrane,0.005,1.0,160.8,0.0,0.0,0.0,160.8,P 26/3671,PROSPECTING LICENCE,NORTHERN STAR (KLV) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/269f9c1d-67da-4832-8a5a-64ee9fe84ea2
Hannans North Tourist Mine,Hannans North Tourist Mine,J01349,-30.727877,121.470606,Care and Maintenance,Mine,Shaft,"Au, Ag",Eastern Goldfields Superterrane,0.07,1.77142857,3986.7,0.0,0.0,0.0,3986.7,M 26/353; G 26/81,MINING LEASE; GENERAL PURPOSE LEASE,NORTHERN STAR (KLV) PTY LTD; NORTHERN STAR (KLV) PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/c73325b9-ea0b-4e8a-8b9c-b80d26c0a02f
Hawkins Find,Hawkins Find,J01884,-30.498374,121.021971,Operating,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.05,3.0,4822.6,0.0,0.0,0.0,4822.6,M 16/231,MINING LEASE,"PHOTIOS, MICHAEL JOHN",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/40252613-da4c-49ae-9a16-114f06205ff6
Hawks Nest / Magnetic,Hawks Nest,J05357,-28.703143,122.233741,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.6521,0.78233093,16401.9,0.0,0.0,0.0,16401.9,E 38/3127,EXPLORATION LICENCE,MAGNETIC RESOURCES NL,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/3cbbe48d-2edd-4fc5-a694-8c102dfc3618
Hemi Gold,Hemi Gold,J02786,-20.863369,118.427678,Undeveloped,Deposit,Unspecified,"Au, Ag",Mallina Basin,273.7,1.31172817,11542744.3,120.8,1.54536424,6001892.7,17544637.0,M 47/1628,MINING LEASE,NORTHERN STAR (HEMI) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/84d8098d-bbcc-4070-8b33-b469ed47df76
Hermes Gold,Hermes,J02253,-25.581773,118.908313,Care and Maintenance,Mine,Openpit,Au,Yilgarn Craton granites,3.6,1.84166667,213159.1,1.2,1.6,61729.3,274888.4,M 52/685,MINING LEASE,CATALYST (PLUTONIC) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f084296d-71b5-483b-8777-0e8685fd3ca0
Higginsville,Higginsville,J00152,-31.728736,121.729907,Shut,Mine,Openpit,Au,Eastern Goldfields Superterrane,12.256,2.56300914,1009925.5,3.483,2.04735573,229264.7,1239190.2,M 15/225,MINING LEASE,KARORA (HIGGINSVILLE) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/74c747be-9fe0-4b04-b92e-662c734ac182
Hilditch Gold,Hilditch Gold,J06141,-31.298243,121.468955,Proposed,Mine,Openpit,Au,Eastern Goldfields Superterrane,0.3,1.3,12538.8,0.0,0.0,0.0,12538.8,M 15/1448,MINING LEASE,BULLABULLING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b3f9cf00-32c4-b311-6a3b-dd626befd777
Historic Gold - Broad Arrow (24),Historic - Broad Arrow (24),J03523,-30.203118,120.967013,Shut,Mine,Unspecified,Au,Eastern Goldfields Superterrane,0.397,6.64,84751.8,0.0,0.0,0.0,84751.8,M 24/960,MINING LEASE,SIBERIA MINING CORPORATION PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/fa978c15-32b0-4a84-b0ea-7c199c097910
Hogans - Coogee,Hogans - Coogee,J01878,-31.133135,121.880357,Shut,Mine,Openpit,"Au, Ag, Cu",Eastern Goldfields Superterrane,3.6547,1.07813391,126682.0,0.0,0.0,0.0,126682.0,M 26/477,MINING LEASE,JAVELIN MINERALS LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/807222fe-8bac-4866-88bc-bf7e226b32ed
Hollandaire - Eelya,Hollandaire - Eelya,J04178,-27.35615,118.187329,Proposed,Mine,Openpit,"Cu, Au, Ag",Youanmi Terrane,3.736,0.67746253,81373.4,0.0,0.0,0.0,81373.4,M 20/526,MINING LEASE,CYPRIUM METALS LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/c9e83e59-5730-475d-89b8-eb5bc2c4acde
Holleton - Learys Lament,Holleton - Learys Lament,J01659,-31.918717,119.002008,Shut,Mine,Openpit,Au,Yilgarn Craton granites,0.167,2.04011976,10953.7,0.0,0.0,0.0,10953.7,M 77/643,MINING LEASE,RICHARD READ AND ASSOCIATES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/42983411-2c6c-40db-b954-86a6ad953f99
Homeward Bound - Marble Bar,Homeward Bound - Marble Bar,J01408,-21.173946,119.755007,Shut,Mine,Shaft,Au,Callina Supersuite,0.15,3.2,15432.3,0.0,0.0,0.0,15432.3,M 45/1255,MINING LEASE,M R MILLWOOD PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/760ab1fd-b55a-4997-9435-7dc7449c9b25
Homeward Bound South,Homeward Bound South,J05555,-28.839706,121.772472,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.442,1.2,55633.6,0.0,0.0,0.0,55633.6,P 39/5455; L 37/195,PROSPECTING LICENCE; MISCELLANEOUS LICENCE,MAGNETIC RESOURCES NL; NAVIGATOR MINING PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/d85aaca6-d900-408f-aede-cde5ba7c47e6
