OBJECTID,PROJ_NAME,PROJ_SHORT,PROJ_CODE,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA,TENEMENT_IDS,TENEMENT_TYPES,TENEMENT_HOLDERS,TENEMENT_STATUS,SITE_TYPE,SITE_SUBTYPE,SITE_STAGE,SITE_COMMODITIES
333064,Quartz Circle,Quartz Circle,J02344,Gold,S0016697,-21.667676,120.18741,Warrawoona  Large Igneous Province,Gold,Au,Yes,0.093,million tonnes,0.24,gram/tonne,22.32,kilogram,717.60467304,ounce (troy),,,,,,,,,22.32,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/ac178f0b-d7cd-4987-80ec-b3fed4b3fb85,10/04/2026,E 46/1148,EXPLORATION LICENCE,SAHUL EXPLORATION PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Cu, Au, Ag"
333065,Quartz Creek - Minerichee,Quartz Creek - Minerichee,J02144,Gold,S0005749,-28.936187,117.049442,Youanmi Terrane,Gold,Au,Yes,0.092,million tonnes,1.97804348,gram/tonne,181.98,kilogram,5850.79293906,ounce (troy),,,,,,,,,181.98,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/319fc860-ecc9-4e92-986d-8b20f0555e60,10/04/2026,M 59/771,MINING LEASE,COMPLETE PROSPECTING PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,Au
333066,Queen Lapage,Queen Lapage,J00307,Gold,S0000675,-30.616166,121.979807,Eastern Goldfields Superterrane,Gold,Au,Yes,0.25688,million tonnes,3.00226721,gram/tonne,771.2224,kilogram,24795.37626313,ounce (troy),,,,,,,,,771.2224,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/25ae7d2b-d03f-4f45-a2cc-304b400a2134,10/04/2026,M 25/344,MINING LEASE,G & D MINE SERVICES PTY LTD,LIVE,Mine,Openpit,Operating,"Au, Ag"
333067,Queens Gold,Queens Gold,J07134,Gold,S0243710,-28.30701,121.134146,Yilgarn Craton granites,Gold,Au,Yes,1.096,million tonnes,1.38,gram/tonne,1512.48,kilogram,48627.36182256,ounce (troy),,,,,,,,,1512.48,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/ff6e6e10-edb2-172f-cb8d-b7950c4cbbcb,10/04/2026,P 37/8468,PROSPECTING LICENCE,U RESOURCE PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,Au
333070,Quinns,Quinns,J00104,Gold,S0001118,-29.022272,120.506021,Eastern Goldfields Superterrane,Gold,Au,Yes,0.56,million tonnes,2.61464286,gram/tonne,1464.2,kilogram,47075.1237574,ounce (troy),0.1448,million tonnes,2.08577348,gram/tonne,302.02,kilogram,9710.16860894,ounce (troy),1766.22,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/b347dc7d-ec94-4a50-91e4-8b3399cf219d,10/04/2026,M 29/65,MINING LEASE,AURENNE MIT PTY LTD,LIVE,Mine,Openpit,Shut,"Au, Ag"
333071,Radio - Bullfinch,Radio - Bullfinch,J01432,Gold,S0003510,-30.913995,119.082613,Youanmi Terrane,Gold,Au,Yes,0.2107,million tonnes,4.22265306,gram/tonne,889.713,kilogram,28604.93756561,ounce (troy),,,,,,,,,889.713,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/a06d4a67-7937-4f74-951b-0a5ccadf0f12,10/04/2026,M 77/633,MINING LEASE,TOP GLOBAL MINING PTY LTD,LIVE,Mine,Decline,Care and Maintenance,"Au, Ag"
333075,Rama Gold,Rama Gap,J05486,Gold,S0023373,-32.754873,119.825835,Youanmi Terrane,Gold,Au,Yes,1.1414,million tonnes,2.19709567,gram/tonne,2507.765,kilogram,80626.51805046,ounce (troy),,,,,,,,,2507.765,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/647c32f2-1929-4039-83b2-3eb7cd0f9fde,10/04/2026,M 74/249,MINING LEASE,BAIN GLOBAL RESOURCES PTY LTD,LIVE,Mine,Openpit,Operating,"Au, Ag"
333076,Randalls - Mt Monger,Randalls - Mt Monger,J00251,Gold,S0002815,-31.013124,121.921372,Eastern Goldfields Superterrane,Gold,Au,Yes,27.577,million tonnes,3.83325597,gram/tonne,105709.7,kilogram,3398645.8201459,ounce (troy),8.126,million tonnes,2.05246124,gram/tonne,16678.3,kilogram,536219.8036901,ounce (troy),122388,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/dc25b196-6868-47b4-95e8-75c58a74d834,10/04/2026,M 26/129,MINING LEASE,SILVER LAKE RESOURCES LIMITED,LIVE,Mine,Decline,Operating,"Au, Ag"
333077,Randalls Tailings,Randalls Tailings,J01315,Gold,S0003114,-31.046964,122.211711,Eastern Goldfields Superterrane,Gold,Au,Yes,0.015,million tonnes,2,gram/tonne,30,kilogram,964.52241,ounce (troy),,,,,,,,,30,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/9d3ab37c-63b8-40cb-9ca2-ba08732084b0,10/04/2026,M 25/71,MINING LEASE,SILVER LAKE (INTEGRA) PTY LIMITED,LIVE,Infrastructure,Tailings storage facility,Shut,Au
333078,Randwick - Gold Hill,Randwick - Hill,J00120,Gold,S0001119,-28.681485,121.682612,Eastern Goldfields Superterrane,Gold,Au,Yes,0.553,million tonnes,2.01905967,gram/tonne,1116.54,kilogram,35897.59505538,ounce (troy),,,,,,,,,1116.54,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/545cc2a6-0411-4fe0-9e39-ed4d8fd30063,10/04/2026,M 37/220,MINING LEASE,"BOUVERIE, ERWIN",LIVE,Mine,Openpit,Shut,Au
333102,Ravensthorpe Gold,Ravensthorpe,J00191,Gold,S0002126,-33.672857,120.201609,Youanmi Terrane,Gold,Au,Yes,10.23,million tonnes,3.34760508,gram/tonne,34246,kilogram,1101034.481762,ounce (troy),10.26,million tonnes,1.81920078,gram/tonne,18665,kilogram,600093.692755,ounce (troy),52911,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/b7c35ccd-2165-438d-8c03-cec0ef109084,10/04/2026,M 74/51,MINING LEASE,MEDALLION METALS LIMITED,LIVE,Mine,Openpit,Proposed,"Au, Cu, Ag"
333104,Rebecca,Rebecca,J04276,Gold,S0229694,-30.358612,122.863141,Eastern Goldfields Superterrane,Gold,Au,Yes,33.5,million tonnes,1.27214925,gram/tonne,42617,kilogram,1370168.384899,ounce (troy),17.9,million tonnes,1.23519553,gram/tonne,22110,kilogram,710853.01617,ounce (troy),64727,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/e49829d9-2b16-49da-83d6-4bd5d259939d,10/04/2026,M 28/400,MINING LEASE,AC MINERALS PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Ag"
333106,Red Bore,Red Bore,J03877,Copper,S0032480,-25.544312,119.348028,Bryah Basin,Gold,Au,No,0.048,million tonnes,0.4,gram/tonne,19.2,kilogram,617.2943424,ounce (troy),,,,,,,,,19.2,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/c7aab39a-bd8c-4e9c-be9a-07b226c2c358,10/04/2026,M 52/597,MINING LEASE,NEW MURCHISON GOLD LIMITED,LIVE,Deposit,Unspecified,Undeveloped,"Cu, Au, Ag"
333107,Red Flag - Hawks Nest,Red Flag - Hawks Nest,J01518,Gold,S0022629,-28.707577,122.292712,Eastern Goldfields Superterrane,Gold,Au,Yes,0.058,million tonnes,3.19,gram/tonne,185.02,kilogram,5948.53120994,ounce (troy),,,,,,,,,185.02,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/d09e6533-f7b7-4c53-805d-b68d8cb7f165,10/04/2026,M 38/218,MINING LEASE,GOLDEN CLIFFS NL,LIVE,Mine,Openpit,Shut,Au
333109,Red October,Red October,J04019,Gold,S0224334,-29.217283,122.413556,Eastern Goldfields Superterrane,Gold,Au,Yes,1.348,million tonnes,5.63367953,gram/tonne,7594.2,kilogram,244159.2028674,ounce (troy),,,,,,,,,7594.2,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/d4ef1787-a0f4-4d37-918c-81ab38fe12c8,10/04/2026,M 39/412,MINING LEASE,RED OCTOBER GOLD PTY LTD,LIVE,Mine,Decline,Care and Maintenance,"Au, Ag"
